pde_type,grf_alpha,snn_output_res,num_test_samples,rel_l2_truncated_spectral_mean,rel_l2_full_spectral_mean,rel_l2_full_spatial_mean,rel_H1_full_mean,rel_H2_full_mean
step_index_fiber,1.0,32,150,0.9601848900184958,0.9682523275321192,0.9682523397604624,1.0050379337961752,1.0015247199889659
step_index_fiber,1.0,48,150,0.8873295194169051,0.8973309261024291,0.8973309409618377,0.998704324730057,1.0000737623352562
step_index_fiber,1.0,64,150,0.964440709138452,0.964440709138452,0.9644407264391581,1.0057738629339599,1.0072263753958028
step_index_fiber,1.25,32,150,0.9212265920682775,0.9285793134465894,0.9285793284575145,1.012383633320876,1.004719515165299
step_index_fiber,1.25,48,150,0.8094597525386977,0.816845036053801,0.8168450478712718,0.9978728710244699,1.0019811745848668
step_index_fiber,1.25,64,150,0.7750199393641121,0.7750199393641121,0.7750199623902638,0.9985314342195901,1.013444210097733
step_index_fiber,1.5,32,150,0.664851846484629,0.6797752538204541,0.6797752745946248,0.980090403988208,1.0001190235104405
step_index_fiber,1.5,48,150,0.6335779355455848,0.6390670800080862,0.6390671030680338,0.9752958162819811,1.0022461746956244
step_index_fiber,1.5,64,150,0.6364947575327671,0.6364947575327671,0.6364947680632274,0.9942318124392053,1.0553217038098193
step_index_fiber,1.75,32,150,0.5096067018505382,0.5177099832038539,0.5177099917332332,0.9352311590157687,1.0012293047099838
step_index_fiber,1.75,48,150,0.5397280825208188,0.5420727220242202,0.5420727344353994,0.9360113342342542,1.0015520118488794
step_index_fiber,1.75,64,150,0.563488440781517,0.563488440781517,0.5634884530305863,0.9647607152651841,1.0973374241438714
